lipidClass;lipidName;tailLengths;relativeFrequencyOfTailLength;numberOfLipidsInSampleModel
PE;DOPE;18:1/18:1;0.39;2
PE;DSPE;18:0/18:0;0.12;2
PC;DPPC;16:0/16:0;0.30;2
PC;DSPC;18:0/18:0;0.12;2
PC;DOPC;18:1/18:1;0.36;2
PS;DSPS;18:0/18:0;0.33;2
PS;SOPS;18:0/18:1;0.39;2
PI;DPPI;16:0/16:0;0.27;2
PI;PSPI;16:0/18:0;0.15;2
PI;POPI;16:0/18:1;0.27;2
SM;SSM;18:1/18:0;0.19;2
SM;LSM;18:1/24:0;0.17;2
SM;NSM;18:1/24:1;0.20;2
CHL;CHL;x:x/x:x;x;20
GalC;GalC1/0;18:1/24:0;0.12;2
GalC;GalC1/1;18:1/24:1;0.32;2
GalS;GalS1/0;18:1/24:0;0.18;2
GalS;GalS1/1;18:1/24:1;0.21;2
