lipidClass;lipidName;tailLengths;relativeFrequencyOfTailLength;numberOfLipidsInSampleModel;numberOfLipidsInModel;moleculeWeight;frequencyInModel
CHL;CHL;x:x/x:x;x;20;32;6.42057e-25;0.2766
GalC;GalC1/0;18:1/24:0;0.12;2;11;1.34879e-24;0.2086
GalC;GalC1/1;18:1/24:1;0.32;2;11;1.34544e-24;0.2086
GalS;GalS1/0;18:1/24:0;0.18;2;3;1.48005e-24;0.0648
GalS;GalS1/1;18:1/24:1;0.21;2;3;1.47670e-24;0.0648
PC;DOPC;18:1/18:1;0.36;2;7;1.30538e-24;0.1153
PC;DPPC;16:0/16:0;0.30;2;7;1.21891e-24;0.1153
PC;DSPC;18:0/18:0;0.12;2;7;1.31207e-24;0.1153
PE;DOPE;18:1/18:1;0.39;2;11;1.23550e-24;0.1777
PE;DSPE;18:0/18:0;0.12;2;11;1.24220e-24;0.1777
PI;DPPI;16:0/16:0;0.27;2;1;1.34508e-24;0.0150
PI;POPI;16:0/18:1;0.27;2;1;1.38832e-24;0.0150
PI;PSPI;16:0/18:0;0.15;2;1;1.39167e-24;0.0150
PS;DSPS;18:0/18:0;0.33;2;4;1.31360e-24;0.0746
PS;SOPS;18:0/18:1;0.39;2;4;1.31026e-24;0.0746
SM;LSM;18:1/24:0;0.17;2;4;1.35375e-24;0.0710
SM;NSM;18:1/24:1;0.20;2;4;1.35040e-24;0.0710
SM;SSM;18:1/18:0;0.19;2;4;1.21399e-24;0.0710
